"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	67.4596	70.2235	72.5157	74.4664	76.1369	77.5829	78.7619	79.8847	80.9795	81.9124	82.8539	83.67	84.4924	85.2141	85.9712	86.6849	87.4213
8	"Albania"	81.6677	82.7944	83.7945	84.7345	85.6231	86.4406	87.2355	88.0303	88.8503	89.5799	90.3389	91.0945	91.8136	92.5559	93.2905	94.0048	94.7249
12	"Algeria"	78.8982	80.415	81.713	82.8619	83.8868	84.8687	85.778	86.6326	87.4638	88.2694	89.098	89.8749	90.5869	91.3449	92.0667	92.796	93.4937
24	"Angola"	66.2315	68.386	70.2881	71.9762	73.4583	74.8264	76.0396	77.169	78.1454	79.1038	79.9829	80.8306	81.6085	82.3266	83.0371	83.7648	84.4835
28	"Antigua and Barbuda"	80.0322	81.1767	82.175	83.0999	83.9402	84.7758	85.5402	86.3377	87.0796	87.8193	88.582	89.2848	89.9958	90.711	91.4362	92.1814	92.8921
32	"Argentina"	81.5246	82.5794	83.5071	84.3805	85.2131	86.013	86.8033	87.5469	88.3167	89.0509	89.7844	90.5322	91.2519	91.96	92.6423	93.3657	94.074
51	"Armenia"	79.0083	80.2315	81.2896	82.2682	83.168	84.008	84.8125	85.6195	86.3477	87.1073	87.8681	88.568	89.3107	90.02	90.7335	91.4271	92.1431
533	"Aruba"	79.5524	80.6267	81.5831	82.4315	83.2763	84.0221	84.7862	85.4855	86.201	86.8932	87.6094	88.2736	88.9328	89.6349	90.3291	91.0232	91.6717
36	"Australia"	85.8526	86.8522	87.7309	88.5778	89.413	90.2101	90.9907	91.7561	92.4998	93.2568	93.9865	94.7214	95.4795	96.1893	96.9563	97.6594	98.3861
40	"Austria"	85.0387	86.0616	87.0045	87.8896	88.7392	89.558	90.3581	91.1423	91.9017	92.6666	93.419	94.1454	94.8881	95.629	96.3349	97.0352	97.7426
31	"Azerbaijan"	76.4331	77.5415	78.5404	79.4389	80.2637	81.0948	81.8827	82.6474	83.3798	84.0996	84.7965	85.5311	86.2283	86.9063	87.5907	88.2995	88.9457
44	"Bahamas"	79.9188	81.0474	82.043	82.9657	83.8016	84.62	85.4018	86.1972	86.9114	87.6713	88.4368	89.1879	89.8739	90.5802	91.3151	92.0283	92.6962
48	"Bahrain"	79.341	80.4767	81.4826	82.3695	83.2046	84.0199	84.8134	85.538	86.3053	87.0333	87.7661	88.4719	89.1721	89.8767	90.5628	91.2499	91.9338
50	"Bangladesh"	76.2272	78.3503	80.0545	81.5046	82.7862	83.8876	84.8974	85.8935	86.8358	87.6938	88.5227	89.3428	90.0966	90.8531	91.5917	92.3364	93.0741
52	"Barbados"	79.5681	80.7335	81.73	82.6513	83.5396	84.3943	85.1501	85.943	86.6867	87.422	88.1621	88.8957	89.6067	90.3222	91.0682	91.7287	92.4623
112	"Belarus"	79.571	80.739	81.7126	82.6448	83.4838	84.2754	85.05	85.8085	86.5462	87.2557	87.9835	88.72	89.4243	90.105	90.7841	91.4739	92.1501
56	"Belgium"	84.5711	85.5757	86.487	87.3366	88.1855	88.972	89.7761	90.5602	91.3041	92.0432	92.8097	93.55	94.2028	94.9496	95.6538	96.35	97.0515
84	"Belize"	75.07	76.4946	77.7099	78.7976	79.7722	80.7076	81.6015	82.4566	83.2428	84.013	84.7622	85.4613	86.1655	86.8547	87.6018	88.3142	88.9734
204	"Benin"	64.6135	66.8096	68.6447	70.2449	71.6604	72.9569	74.0496	75.1472	76.1535	77.0612	77.9699	78.7741	79.5088	80.3298	81.0596	81.792	82.4628
64	"Bhutan"	72.7907	75.4064	77.4181	79.1271	80.5387	81.8155	82.9106	83.9107	84.868	85.7009	86.5565	87.3851	88.1681	88.9354	89.6664	90.4045	91.1347
68	"Bolivia (Plurinational State of)"	73.7384	76.093	77.995	79.6028	80.9695	82.1646	83.1858	84.1369	85.02	85.8431	86.6452	87.382	88.132	88.829	89.5193	90.1969	90.8647
70	"Bosnia and Herzegovina"	80.7213	81.917	82.9587	83.908	84.7638	85.6204	86.4653	87.2298	87.9995	88.7679	89.5469	90.28	91.0047	91.7383	92.4616	93.1838	93.84
72	"Botswana"	72.1268	74.8942	76.9331	78.534	79.9473	81.1321	82.2561	83.3928	84.5407	85.5277	86.3885	87.1305	87.8157	88.4665	89.1205	89.7881	90.4511
76	"Brazil"	80.5269	81.8832	83.0636	84.1016	85.0896	85.9982	86.9189	87.7337	88.543	89.3269	90.0995	90.8979	91.6432	92.353	93.1478	93.8481	94.5931
96	"Brunei Darussalam"	80.2695	81.4038	82.3972	83.3083	84.2085	84.9861	85.7829	86.5448	87.3059	88.0462	88.8061	89.5264	90.2559	90.9716	91.669	92.358	93.0614
100	"Bulgaria"	79.5138	80.5566	81.452	82.2784	83.026	83.8293	84.5563	85.2623	85.9374	86.6139	87.3039	87.978	88.6677	89.3319	89.9936	90.645	91.317
854	"Burkina Faso"	63.4755	66.6723	69.5143	72.031	74.249	76.0611	77.6998	79.0828	80.2534	81.3802	82.3549	83.2751	84.1516	85.0092	85.8267	86.5613	87.3092
108	"Burundi"	61.7762	64.6485	67.3056	69.7342	72.0271	74.0262	75.8112	77.3357	78.711	79.8909	80.9683	81.9792	82.93	83.7997	84.5971	85.382	86.1531
132	"Cabo Verde"	76.3654	77.8842	79.1869	80.2958	81.366	82.3219	83.2235	84.1003	84.9287	85.6913	86.4666	87.2435	87.9243	88.685	89.4269	90.1303	90.8177
116	"Cambodia"	72.9879	75.3316	77.2616	78.8534	80.2338	81.4542	82.5892	83.5529	84.4504	85.2727	86.0913	86.8495	87.6416	88.3407	89.0588	89.7428	90.3964
120	"Cameroon"	61.7388	65.35	68.5567	71.5475	74.2581	76.5461	78.6012	80.6335	82.3439	83.6826	84.7752	85.911	86.8939	87.8673	88.7301	89.424	90.1482
124	"Canada"	85.2711	86.2729	87.1888	88.06	88.8843	89.6924	90.4623	91.2112	91.9823	92.7441	93.4826	94.1895	94.9083	95.6258	96.3114	97.0255	97.7466
140	"Central African Republic"	57.2275	61.1815	64.9236	68.429	71.6001	74.392	76.8246	78.941	80.753	82.4918	83.8472	84.9979	85.9864	86.933	87.9263	88.7928	89.5436
148	"Chad"	56.4141	59.07	61.5847	63.9954	66.395	68.6691	70.8056	72.7321	74.4743	76.0204	77.4649	78.6994	79.8511	80.8356	81.8266	82.6836	83.5313
830	"Channel Islands"	83.9141	84.8476	85.725	86.5581	87.3538	88.1355	88.9037	89.6614	90.3989	91.1413	91.8792	92.5641	93.2852	93.9949	94.7332	95.4032	96.1021
152	"Chile"	83.1668	84.3577	85.392	86.3355	87.2162	88.0892	88.925	89.7323	90.5549	91.2814	92.0335	92.7854	93.5418	94.2757	94.9567	95.6779	96.3549
156	"China"	79.2615	80.4707	81.5228	82.4893	83.3998	84.2564	85.0589	85.8513	86.6235	87.3982	88.128	88.8737	89.6029	90.2908	91.0286	91.7276	92.4117
344	"China, Hong Kong SAR"	87.9754	89.0313	89.9815	90.8863	91.7685	92.5903	93.4358	94.2343	95.0027	95.7997	96.584	97.3347	98.0663	98.8158	99.5122	100.2298	100.9869
