"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
900	"WORLD"	45.5119605785828	47.7442162772016	49.5286130713459	53.5707462774476	56.2100014451763	58.2203344194524	59.8322990277657	61.4963313576029	62.3003475953444	63.3921308208428	65.0187134199875	66.876290244347	68.5544380643071
901	"More developed regions"	62.198440105023	64.8406144929893	66.3493074046451	66.902658949821	67.5205883524559	68.2303827611683	69.0397336042572	70.2755167706821	70.2856524972504	71.025352264438	71.8942601234258	73.4125543034343	75.2395988910248
902	"Less developed regions"	40.7882080155276	43.0564178940201	45.1789485032868	50.3934393486122	53.7015767372986	56.1258178699886	57.9837824347981	59.7787811727419	60.8646636742713	62.0685643301724	63.8319184511761	65.6512705936985	67.2337472298143
941	"Least developed countries"	34.9687887844468	37.4923260349302	39.7391659543154	42.1022050222256	43.156524995779	44.4877825461325	47.5840160160255	49.3405231333113	50.1357518155784	52.5103956994257	55.1727245558962	58.5123003696151	61.0672259602267
934	"Less developed regions, excluding least developed countries"	41.6464549889884	43.8777098883666	45.9851193599987	51.64758057969	55.392477717135	58.0930593876629	59.807890686959	61.6143883244081	62.855062289243	63.9559839781463	65.5941263214663	67.1517361158315	68.5634009689935
948	"Less developed regions, excluding China"	40.0392832864823	43.335391825172	46.2376868693323	48.9575130360673	51.11355300408	53.3589985404405	55.256868303608	57.0930227754398	58.4959645232389	59.9266230554158	61.5242987234559	63.4959512345551	65.2909379862148
1503	"High-income countries"	62.8768198442488	64.6099725657435	65.742388476181	66.5899280538007	67.7325804011067	69.0498894163233	70.352115567828	71.5036794362165	72.5195357911557	73.8744608619476	75.2867468295462	76.566367496536	77.7080260661333
1517	"Middle-income countries"	42.2770661711491	44.6237172511563	46.6851385830846	51.8457951463221	55.0411805527271	57.3555477673202	59.1360611671618	61.0029744889936	61.932885184672	62.9995631032919	64.5694633891219	66.2877728951426	67.9088894809195
1502	"Upper-middle-income countries"	44.990111218103	46.5111019784493	47.6945727670074	54.933217577758	59.4532574707381	62.1672081226982	63.5427547232845	65.473944811373	66.1167452920397	67.1018204110918	68.8142931680257	70.3721728003955	71.9772872340131
1501	"Lower-middle-income countries"	39.2962879170207	42.7105033417531	45.6932279193682	48.5384236645608	50.6179663454227	52.9761722516008	55.3559537263922	56.9963203993161	58.4373948011828	59.8418386202366	61.3548093590763	63.1745316595339	64.7283248958198
1500	"Low-income countries"	33.3378033427431	36.16310528283	38.1740930220649	40.385925803746	42.5392337837344	44.3999943461657	45.9291940904259	47.405217265664	47.5390199256257	49.1929955962105	51.8695756409413	55.7208947086255	58.8530747647791
947	"Sub-Saharan Africa"	34.9743908985436	37.1485958932925	39.3432593747599	41.3100933421017	43.3067231869612	45.2110641999927	46.6076726802859	47.4527992886754	47.1271526029036	47.8417651741215	49.327115749743	52.9234924079828	56.2410707570386
903	"AFRICA"	36.2298556870936	38.6653240085313	41.0054622046122	43.0621090424853	45.0456099420348	47.1329315018427	48.8389505094586	50.0370134046739	49.9450562410167	50.7292640786329	52.1933063354069	55.5202463420116	58.5787947875292
910	"Eastern Africa"	35.6358514065243	38.0371266293012	40.5697787442471	42.6177811783532	44.4394701560788	46.0079373589528	46.5993973771109	47.0786528790419	45.6205494031069	47.7379205665783	50.4304881403074	55.5329618959591	59.5369172492542
108	"Burundi"	37.46	38.95	40.44	41.92	42.62	44.8	46.26	47.39	45.65	49.18	50.27	52	54.18
174	"Comoros"	37.5	39	41	43	45.17	47.41	50.7	53.72	56.27	57.75	58.01	59.31	61.2
262	"Djibouti"	39.72	41.64	43.87	46.04	49.4	51.03	53.15	54.61	55.42	55.39	55.85	57.6	60.04
232	"Eritrea"	32.8	35.3	38.58	40.64	42.42	44.28	45.73	47.21	48.98	52.27	54.7	58.74	61.37
231	"Ethiopia"	32.8	35.3	38.58	40.64	42.04	42.77	42.1	44.7	46.58	49.26	52.31	57.57	61.92
404	"Kenya"	40.54	43	46	48.71	51.64	54.38	56.85	56.46	53.5	50.19	50.96	58.14	63.04
450	"Madagascar"	35.33	37.82	40.25	42.65	45.06	47.17	48.67	48.86	51.39	55.49	58.81	60.81	63.02
454	"Malawi"	35.8	36.7	37.8	38.8	40.98	42.88	44.4	44.63	44.56	44.59	45.72	51.51	58.24
480	"Mauritius"	49.03	53.96	59.39	60.76	60.73	61.46	64.52	64.74	66.63	66.75	68.85	69.39	70.67
175	"Mayotte"	44.91	49.87	53.95	57.49	60.54	63.22	65.59	67.7	69.61	71.36	72.97	74.47	76.04
508	"Mozambique"	30.1	32.5	34.8	36.65	38.8	40.64	39.95	40.72	42.18	45.37	47.87	51.38	53.97
638	"Reunion"	44.91	49.87	53.95	57.49	60.54	63.22	65.59	67.7	69.61	71.36	72.97	74.47	76.04
646	"Rwanda"	38.46	39.92	41.42	42.5	42.95	44.25	48.25	46.5	21.99	43.85	49.61	58.55	63.14
690	"Seychelles"	55.7	57.12	60.09	61.34	63.71	65.42	66.56	67.27	65.83	66.89	67.86	68.05	68.69
706	"Somalia"	32.54	34.51	36.46	38.48	40.39	42.29	44	44.89	43.49	48.28	49.98	51.65	53.28
728	"South Sudan"	26.63	29.27	31.39	33.53	35.34	37.28	38.07	40.42	43.97	46.88	49.06	51.3	54.1
800	"Uganda"	38.47	41.07	43.84	46.61	47.67	47.83	47.38	44.45	41.75	42.45	47.77	53.56	56.48
834	"United Republic of Tanzania"	39.59	41.36	42.62	44.15	46.03	48.19	48.92	48.82	47.38	48.09	51.95	57.49	60.79
894	"Zambia"	40.6	42.6	44.6	46.3	48.56	49.77	48.33	44.46	41.62	41.7	45.26	51.15	57.52
716	"Zimbabwe"	47	49	50.9	52.5	54.09	56.1	58.59	57.48	51.67	45.06	42.7	47.2	56.1
911	"Middle Africa"	35.3586937300276	36.9300282089938	38.5199034742374	40.3629787192902	42.5079594774788	44.1017823971624	45.5161175650679	46.3932719514266	46.8836275848986	46.7028660750311	49.3456190341659	52.9471211213567	55.812601795146
24	"Angola"	30	31.1	32.6	34.5	36.5	38.4	39	39.5	40	42.5	47.5	53	57.41
120	"Cameroon"	37.22	39.14	41.37	43.54	45.91	48.53	50.51	51.24	49.98	48.42	50.55	53.43	55.11
140	"Central African Republic"	32.03	34	35.98	38.46	42	45.55	47.24	47.21	45.66	43.47	42.52	44.6	47.8
148	"Chad"	33.41	35.1	36.85	38.76	41.23	42.96	44.27	45.57	45.91	46.46	46.77	48.05	50.52
178	"Congo"	42.27	45.7	48.83	50.98	52.69	54.03	55.19	55.14	53.39	50.94	51.14	56.71	61.02
180	"Democratic Republic of the Congo"	37.6	39.09	40.17	41.53	43.32	44.18	45.69	46.8	48.13	47.45	50.39	54.04	56.67
226	"Equatorial Guinea"	33.03	34.51	36	37.48	39.01	40.51	43.95	45.67	47.77	50.29	52.33	53.78	55.51
