"country_code"	"name"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	"15-19"	8.7201	8.696	8.444	8.1546	8.3243	9.1132	9.5552	9.8245	10.7549	10.785	10.0119	9.4336	9.2367	8.8797	8.2631	7.8107	7.4603	7.1685	6.8951	6.6118	6.3149	6.0067	5.703	5.4134	5.1357	4.8619	4.5876	4.3173	4.0553	3.8078
900	"WORLD"	"20-24"	23.6568	24.0695	24.4176	24.7084	25.3571	26.9736	28.9758	30.3551	29.6379	29.9345	29.9912	29.5663	28.9827	28.532	27.4661	26.5417	25.5593	24.7099	23.9701	23.2884	22.6336	21.97	21.2945	20.6282	19.9934	19.3869	18.791	18.1915	17.5845	16.9795
900	"WORLD"	"25-29"	25.2095	25.4323	25.5869	26.1566	26.954	27.1598	28.2349	27.7074	27.8663	27.6541	28.2893	28.6521	28.5627	28.7128	28.9658	29.1758	29.3271	29.4034	29.4313	29.5104	29.6431	29.8053	29.9535	30.0663	30.1529	30.2354	30.32	30.3956	30.4555	30.4944
900	"WORLD"	"30-34"	20.1568	19.9567	20.1577	20.1992	19.7049	18.9368	17.2677	17.3111	17.4664	17.5126	18.0784	18.7671	19.2199	19.3753	20.4594	21.2983	21.9887	22.6597	23.2982	23.8624	24.4185	25.0123	25.623	26.2432	26.8594	27.4692	28.0831	28.7068	29.3438	29.9862
900	"WORLD"	"35-39"	14.0531	13.8026	13.6534	13.2999	12.5967	11.3022	10.1101	9.4298	9.3032	9.372	9.2254	9.384	9.9094	10.3044	10.6123	10.9727	11.4685	11.849	12.1807	12.5113	12.8124	13.0954	13.3966	13.6926	13.9721	14.2308	14.4756	14.7172	14.9556	15.1865
900	"WORLD"	"40-44"	6.6076	6.5218	6.2982	6.0615	5.6774	5.1182	4.5743	4.159	3.882	3.7103	3.4622	3.3135	3.2943	3.4342	3.4842	3.4707	3.5129	3.5459	3.5502	3.5447	3.53	3.4921	3.4391	3.3922	3.3498	3.3096	3.2696	3.234	3.2031	3.1758
900	"WORLD"	"45-49"	1.5961	1.5211	1.4422	1.4197	1.3856	1.3963	1.2821	1.2131	1.0894	1.0315	0.9416	0.8834	0.7945	0.7616	0.7491	0.7301	0.6833	0.6638	0.6745	0.671	0.6474	0.6182	0.5903	0.5642	0.5367	0.5061	0.4732	0.4375	0.4023	0.3698
901	"More developed regions"	"15-19"	6.1946	7.2592	7.8191	8.374	9.1068	9.5239	9.2949	9.1431	10.1441	9.0073	7.7289	7.0995	5.5416	4.154	2.6984	2.458	2.2741	2.1421	2.0546	2.0059	1.9804	1.9699	1.9655	1.9619	1.9582	1.9548	1.9534	1.9539	1.955	1.9552
901	"More developed regions"	"20-24"	27.8753	29.652	31.3426	31.8926	32.7516	33.5908	32.8457	30.3011	28.1376	25.4064	23.4701	21.5478	19.2111	16.1877	12.5923	11.9095	11.4952	11.2335	11.0835	11.0031	10.9647	10.9567	10.9602	10.9663	10.9742	10.9822	10.9889	10.9959	11.0032	11.0102
901	"More developed regions"	"25-29"	30.481	30.4429	30.8837	31.3379	32.3681	33.0838	33.2075	33.1811	31.8945	31.1027	30.1405	29.2154	29.3207	29.1682	29.3093	28.7996	28.5334	28.4125	28.3816	28.3804	28.3913	28.407	28.4275	28.4494	28.4709	28.4904	28.5052	28.5166	28.5295	28.5452
